id,bt_random,time_random
020169,0,0.009978
020170,0,0.009971
020171,0,0.009981
020172,0,0.00997
020173,0,0.019958
020174,0,0.009975
020175,0,0.009971
020176,0,0.009993
020177,0,0.009964
020178,0,0.009965
020179,0,0.009971
020180,0,0.009977
020181,0,0.010061
020182,0,0.009963
020183,0,0.009977
020184,0,0.009964
020185,0,0
020186,0,0
020187,0,0
020188,0,0
020189,0,0.009964
020190,0,0.009991
020191,0,0.009973
020192,0,0.009972
020193,0,0
020194,0,0.009975
020195,0,0
020196,0,0
020197,0,0.00997
020198,0,0.009974
020199,0,0
020200,0,0.010038
020201,0,0.009985
020202,0,0
020203,0,0
020204,0,0.009968
020205,0,0.009972
020206,0,0.009987
020207,0,0.009978
020208,0,0
020209,0,0.009989
020210,0,0.009982
020211,0,0.009921
020212,0,0.009974
020213,0,0.009985
020214,0,0.009982
020215,0,0
020216,0,0.009974
020217,0,0.009957
020218,0,0.009964
020219,0,0.009979
020220,0,0.009968
020221,0,0.009987
020222,0,0.00998
020223,0,0.009978
020224,0,0.00997
020225,0,0.009971
020226,0,0.009946
020227,0,0.009969
020228,0,0
020229,0,0.00997
020230,0,0.00997
020231,0,0.009964
020232,0,0.009984
020233,0,0.019952
020234,0,0.010351
020235,0,0.009972
020236,0,0.009997
020237,0,0.00997
020238,0,0.010009
020239,0,0.010265
020240,0,0.010215
020241,0,0
020242,0,0.009591
020243,0,0.009956
020244,0,0.010329
020245,0,0
020246,0,0.009999
020247,0,0.009975
020248,0,0.01994
020249,0,0.009597
020250,0,0.010351
020251,0,0.010385
020252,0,0.009602
020253,0,0
020254,0,0.009577
020255,0,0.009981
020256,0,0
020257,0,0.009973
020258,0,0
020259,0,0.009991
020260,0,0.009913
020261,0,0.009593
020262,0,0.009986
020263,0,0.019933
020264,0,0.009961
020265,0,0.009981
020266,0,0.019987
020267,0,0.009992
020268,0,0.009975
020269,0,0.009982
020270,0,0.009966
020271,0,0
020272,0,0
020273,0,0.009513
020274,0,0.009974
020275,0,0.009975
020276,0,0.010211
020277,0,0.009953
020278,0,0.009986
020279,0,0.009968
020280,0,0.009961
020281,0,0.009966
020282,0,0.010219
020283,0,0.009971
020284,0,0.009995
020285,0,0.009983
020286,0,0
020287,0,0.009971
020288,0,0.01032
020289,0,0.010217
020290,0,0.009981
020291,0,0.010001
020292,0,0
020293,0,0.009974
020294,0,0.009975
020295,0,0.010361
020296,0,0
020297,0,0.009976
020298,0,0.009969
020299,0,0.01971
020300,0,0.010289
020301,0,0.00997
020302,0,0.009974
020303,0,0.010321
020304,0,0
020305,0,0
020306,0,0.019963
020307,0,0
020308,0,0.009971
020309,0,0.009989
020310,0,0.009984
020311,0,0.009988
020312,0,0.00998
020313,0,0.019958
020314,0,0.009971
020315,0,0.009978
020316,0,0.009972
020317,0,0
020318,0,0.009994
020319,0,0
020320,0,0.009981
020321,0,0.009967
020322,0,0.009929
020323,0,0
020324,0,0.009977
020325,0,0.00998
020326,0,0
020327,0,0
020328,0,0
020329,0,0.009985
020330,0,0.009975
020331,0,0.009987
020332,0,0
020333,0,0.009981
020334,0,0.010044
020335,0,0.009973
020336,0,0.009978
020337,0,0.009966
020338,0,0
020339,0,0
020340,0,0.009958
020341,0,0.009971
020342,0,0
020343,0,0
020344,0,0.009999
020345,0,0.009979
020346,0,0.009979
020347,0,0.009978
020348,0,0.009992
020349,0,0.029911
020350,0,0.009976
020351,0,0.01002
020352,0,0.019947
020353,0,0.009974
020354,0,0.019951
020355,0,0.009973
020356,0,0.00998
020357,0,0.019954
020358,0,0.00997
020359,0,0.009973
020360,0,0.009972
020361,0,0.019972
020362,0,0.009967
020363,0,0.009958
020364,0,0.009968
020365,0,0.009916
020366,0,0
020367,0,0.009971
020368,0,0.009971
020369,0,0
020370,0,0
020371,0,0.009989
020372,0,0.009961
020373,0,0.009953
020374,0,0
020375,0,0.009978
020376,0,0.009815
020377,0,0.009968
020378,0,0.009972
020379,0,0.009968
020380,0,0.009988
020381,0,0.009988
020382,0,0.009967
020383,0,0
020384,0,0.00997
020385,0,0.009972
020386,0,0.009975
020387,0,0.009987
020388,0,0.009974
020389,0,0.009992
020390,0,0
020391,0,0.009994
020392,0,0.009954
020393,0,0.009968
020394,0,0
020395,0,0.009973
020396,0,0.009988
020397,0,0.019957
020398,0,0.009988
020399,0,0.009973
020400,0,0.009996
020401,0,0.009969
020402,0,0.009907
020403,0,0.009969
020404,0,0.009965
020405,0,0.009991
020406,0,0
020407,0,0.00997
020408,0,0.00996
020409,0,0.009965
020410,0,0.009988
020411,0,0
020412,0,0
020413,0,0.009982
020414,0,0.009977
020415,0,0.009972
020416,0,0.009991
020417,0,0.009968
020418,0,0.009972
020419,0,0.009961
020420,0,0.009978
020421,0,0.009978
020422,0,0
020423,0,0.009985
020424,0,0.009971
020425,0,0.009973
020426,0,0
020427,0,0.009958
020428,0,0
020429,0,0.009991
020430,0,0.009598
020431,0,0
020432,0,0
020433,0,0.010004
020434,0,0.009972
020435,0,0
020436,0,0
020437,0,0.009956
020438,0,0.010358
020439,0,0
020440,0,0.009988
020441,0,0.009971
020442,0,0.009974
020443,0,0.019967
020444,0,0.00961
020445,0,0.010069
020446,0,0.010316
020447,0,0.010396
020448,0,0.010334
020449,0,0.009938
020450,0,0.010351
020451,0,0.010335
020452,0,0.009965
020453,0,0.00961
020454,0,0.010449
020455,0,0.010355
020456,0,0.009568
020457,0,0.009596
020458,0,0.01041
020459,0,0.009976
020460,0,0
020461,0,0.010012
020462,0,0
020463,0,0
020464,0,0.009575
020465,0,0.009591
020466,0,0.010358
020467,0,0.00957
020468,0,0.009592
