id,bt_random,time_random
020275,0,0.019951
020276,0,0.019946
020277,0,0.049886
020278,0,0.009968
020279,0,0.009971
020280,0,0.019952
020281,0,0.019944
020282,0,0.019944
020283,0,0.019946
020284,0,0.019949
020285,0,0.009956
020286,0,0.019899
020287,0,0.009977
020288,0,0.00997
020289,0,0.009971
020290,0,0.009972
020291,0,0.009974
020292,0,0.019964
020293,0,0.019928
020294,0,0.019954
020295,0,0.009921
020296,0,0.009969
020297,0,0.019953
020298,0,0.019946
020299,0,0.009985
020300,0,0.019939
020301,0,0.019937
020302,0,0.019976
020303,0,0.019905
020304,0,0.019949
020305,0,0.02992
020306,0,0.019939
020307,0,0.019947
020308,0,0.01994
020309,0,0.019945
020310,0,0.019948
020311,0,0.020074
020312,0,0.009973
020313,0,0.029884
020314,0,0.019949
020315,0,0.019952
020316,0,0.00995
020317,0,0.009964
020318,0,0.019946
020319,0,0.019905
020320,0,0.00997
020321,0,0.019938
020322,0,0.019952
020323,0,0.019945
020324,0,0.009975
020325,0,0.029913
020326,0,0.009982
020327,0,0.019963
020328,0,0.01993
020329,0,0.009973
020330,0,0.019965
020331,0,0.009969
020332,0,0.009974
020333,0,0.019921
020334,0,0.009959
020335,0,0.019934
020336,0,0.009978
020337,0,0.019941
020338,0,0.019946
020339,0,0.019955
020340,0,0.019948
020341,0,0.019949
020342,0,0.0299
020343,0,0.019961
020344,0,0.009964
020345,0,0.009968
020346,0,0.00998
020347,0,0.019942
020348,0,0.009972
020349,0,0.009982
020350,0,0.009977
020351,0,0.019936
020352,0,0.019953
020353,0,0.019941
020354,0,0.019943
020355,0,0.019952
020356,0,0.009969
020357,0,0.029942
020358,0,0.009948
020359,0,0.019956
020360,0,0.01994
020361,0,0.009975
020362,0,0.019952
020363,0,0.009977
020364,0,0
020365,0,0.009974
020366,0,0.029911
020367,0,0.019961
020368,0,0.019933
020369,0,0.009977
020370,0,0.009982
020371,0,0.009979
020372,0,0.009966
020373,0,0
020374,0,0.00998
020375,0,0.009951
020376,0,0.019987
020377,0,0.00994
020378,0,0.009971
020379,0,0.009988
020380,0,0.019927
020381,0,0.009978
020382,0,0.009974
020383,0,0.009989
020384,0,0.009975
020385,0,0.009964
020386,0,0.009967
020387,0,0.009988
020388,0,0.009962
020389,0,0.019946
020390,0,0.019951
020391,0,0.019941
020392,0,0.019941
020393,0,0.019942
020394,0,0.009987
020395,0,0.009974
020396,0,0.009969
020397,0,0.00998
020398,0,0.009973
020399,0,0.009972
020400,0,0.009974
020401,0,0.009969
020402,0,0.019953
020403,0,0.009964
020404,0,0.019945
020405,0,0.019944
020406,0,0.009976
020407,0,0.009996
020408,0,0.00997
020409,0,0.009967
020410,0,0.019941
020411,0,0.009971
020412,0,0.019953
020413,0,0.009967
020414,0,0.019944
020415,0,0.009974
020416,0,0.00997
020417,0,0.009973
020418,0,0
020419,0,0.009972
020420,0,0.009968
020421,0,0.009974
020422,0,0.00997
020423,0,0.009986
020424,0,0.009963
020425,0,0.019946
020426,0,0.009971
020427,0,0.009976
020428,0,0.009974
020429,0,0.009973
020430,0,0.009975
020431,0,0.009972
020432,0,0.009972
020433,0,0.009975
020434,0,0.009972
020435,0,0.009974
020436,0,0.009981
020437,0,0.00997
020438,0,0.009947
020439,0,0.009976
020440,0,0
020441,0,0.009968
020442,0,0.009975
020443,0,0.009971
020444,0,0.009975
020445,0,0.009972
020446,0,0.009979
020447,0,0.009979
020448,0,0.009965
020449,0,0.049871
020450,0,0.029979
020451,0,0.019949
020452,0,0.0299
020453,0,0.029918
020454,0,0.019947
020455,0,0.009965
020456,0,0.009968
020457,0,0.009969
020458,0,0
020459,0,0.009976
020460,0,0
020461,0,0.009976
020462,0,0.029937
020463,0,0.029916
020464,0,0.009973
020465,0,0.019934
020466,0,0.009985
020467,0,0.009957
020468,0,0.009972
020469,0,0.019944
020470,0,0.019947
